Delta z (mu m),Resolution

-3.69577,4.833984375

-3.46478,4.736328125

-3.2338,4.58984375

-3.00281,4.443359375

-2.7,4.2724609375

-2.55,4.1748046875

-2.4,4.0771484375

-2.25,4.00390625

-2.1,3.90625

-1.95,3.8330078125

-1.8,3.7353515625

-1.65,3.6376953125

-1.5,3.5400390625

-1.35,3.41796875

-1.2,3.3203125

-1.05,3.1982421875

-0.9,3.0517578125

-0.75,2.9052734375

-0.6,2.783203125

-0.45,2.6611328125

-0.3,2.5146484375

-0.15,2.4169921875

0.0,2.2705078125

0.15,2.1728515625

0.3,2.1240234375

0.45,2.0263671875

0.6,1.9775390625

0.75,1.9287109375

0.9,1.8798828125

1.05,1.8310546875

1.2,1.8310546875

1.35,1.806640625

1.5,1.7822265625

1.65,1.8310546875

1.8,1.8310546875

1.95,1.8310546875

2.1,1.8798828125

2.25,1.9287109375

2.4,1.9775390625

2.55,2.0751953125

2.7,2.1728515625

2.85,2.2705078125

3.0,2.3681640625

3.15,2.5146484375

3.3,2.685546875

3.45,2.8564453125

3.6,3.02734375

3.75,3.1982421875

3.9,3.3935546875

4.05,3.5400390625

4.2,3.6865234375

4.35,3.8330078125

4.5,3.955078125

3.00281,2.392578125

3.2338,2.587890625

3.46478,2.880859375

3.69577,3.173828125

-2.90118,4.345703125

2.90118,2.294921875
