Delta z (mu m),Resolution

-3.69577,4.58984375

-3.46478,4.39453125

-3.2338,4.248046875

-3.00281,4.150390625

-2.7,3.9794921875

-2.55,3.90625

-2.4,3.80859375

-2.25,3.7109375

-2.1,3.6376953125

-1.95,3.564453125

-1.8,3.41796875

-1.65,3.3203125

-1.5,3.1982421875

-1.35,3.0517578125

-1.2,2.9052734375

-1.05,2.7587890625

-0.9,2.6123046875

-0.75,2.4658203125

-0.6,2.3193359375

-0.45,2.1728515625

-0.3,2.0751953125

-0.15,1.9775390625

0.0,1.904296875

0.15,1.8310546875

0.3,1.7822265625

0.45,1.7333984375

0.6,1.708984375

0.75,1.6845703125

0.9,1.6845703125

1.05,1.6845703125

1.2,1.6845703125

1.35,1.7333984375

1.5,1.7333984375

1.65,1.7822265625

1.8,1.8798828125

1.95,1.9287109375

2.1,2.0263671875

2.25,2.1728515625

2.4,2.3193359375

2.55,2.490234375

2.7,2.7099609375

2.85,2.9296875

3.0,3.173828125

3.15,3.3935546875

3.3,3.5888671875

3.45,3.7841796875

3.6,3.9306640625

3.75,4.052734375

3.9,4.150390625

4.05,4.248046875

4.2,4.345703125

4.35,4.443359375

4.5,4.541015625

3.00281,3.173828125

3.2338,3.466796875

3.46478,3.759765625

3.69577,4.00390625

-2.90118,4.052734375

2.90118,3.02734375
