Delta z (mu m),Resolution

-2.7,3.857421875

-2.55,3.759765625

-2.4,3.662109375

-2.25,3.564453125

-2.1,3.466796875

-1.95,3.369140625

-1.8,3.2470703125

-1.65,3.1005859375

-1.5,2.978515625

-1.35,2.8564453125

-1.2,2.7099609375

-1.05,2.5634765625

-0.9,2.4169921875

-0.75,2.2705078125

-0.6,2.1728515625

-0.45,2.0751953125

-0.3,1.9775390625

-0.15,1.9287109375

0.0,1.85546875

0.15,1.806640625

0.3,1.7822265625

0.45,1.7333984375

0.6,1.7333984375

0.75,1.7333984375

0.9,1.7333984375

1.05,1.7333984375

1.2,1.7822265625

1.35,1.7822265625

1.5,1.8310546875

1.65,1.9287109375

1.8,1.9775390625

1.95,2.0751953125

2.1,2.2216796875

2.25,2.3681640625

2.4,2.5146484375

2.55,2.7099609375

2.7,2.9296875

2.85,3.1494140625

3.0,3.369140625

3.15,3.564453125

3.3,3.7353515625

3.45,3.8818359375

3.6,4.0283203125

3.75,4.150390625

3.9,4.248046875

4.05,4.345703125

4.2,4.443359375

4.35,4.541015625

4.5,4.638671875

-3.69577,4.39453125
-3.46478,4.248046875
-3.2338,4.150390625
-3.00281,4.052734375
3.00281,3.369140625
3.2338,3.662109375
3.46478,3.90625
3.69577,4.1015625

-2.90118,3.955078125

2.90118,3.22265625

